,Средняя оценка,Факультет,Законченных семестров,Ступень_образования,Отчислен,Год_поступления,Пол
279,4.47,МТ,11,Специалист,True,2012,М
280,4.37,МТ,12,Специалист,False,2014,М
281,4.4,МТ,10,Специалист,True,2008,М
282,4.25,МТ,10,Специалист,True,2008,М
283,3.91,МТ,9,Специалист,True,2011,М
284,4.8,МТ,10,Специалист,True,2013,М
285,3.94,МТ,7,Специалист,True,2011,М
288,3.4,МТ,2,Специалист,True,2013,М
289,3.0,МТ,1,Специалист,True,2013,М
311,4.0,МТ,4,М,False,2015,М
402,3.74,МТ,6,Специалист,True,2011,М
403,4.69,МТ,4,М,False,2015,М
417,3.93,МТ,11,Специалист,True,2010,М
418,4.75,МТ,12,Специалист,False,2014,М
421,3.4,МТ,1,Специалист,True,2016,М
453,4.1,МТ,11,Специалист,True,2013,М
454,3.81,МТ,9,Специалист,True,2011,М
456,3.0,МТ,2,Специалист,True,2008,М
482,3.69,МТ,11,Специалист,True,2008,М
483,3.42,МТ,12,Специалист,False,2011,М
484,3.82,МТ,12,Специалист,False,2010,М
490,3.2,МТ,1,Специалист,True,2013,М
521,3.05,МТ,4,Специалист,True,2009,М
522,3.3,МТ,8,Б,True,2014,М
535,4.91,МТ,9,Специалист,True,2007,М
536,4.38,МТ,11,Специалист,False,2009,М
537,3.26,МТ,12,Специалист,True,2009,М
539,3.42,МТ,10,Специалист,True,2013,М
545,4.78,МТ,8,Б,False,2013,М
546,3.8,МТ,3,Специалист,True,2007,М
548,4.96,МТ,11,Специалист,False,2009,М
591,3.92,МТ,10,Специалист,True,2009,М
592,3.55,МТ,9,Специалист,True,2011,М
593,3.88,МТ,11,Специалист,False,2011,М
594,3.76,МТ,11,Специалист,False,2007,М
595,3.6,МТ,2,Специалист,True,2015,М
597,3.42,МТ,11,Специалист,False,2009,М
605,4.0,МТ,2,Специалист,True,2016,М
606,3.17,МТ,1,Специалист,True,2016,М
656,3.96,МТ,10,Специалист,True,2007,М
657,4.22,МТ,4,Б,True,2013,М
658,4.73,МТ,7,Б,True,2013,М
659,3.85,МТ,3,Б,True,2015,М
660,3.7,МТ,2,Специалист,True,2007,М
662,3.88,МТ,5,Специалист,True,2008,М
664,3.45,МТ,8,Специалист,True,2011,М
665,3.66,МТ,8,Б,True,2015,М
666,4.9,МТ,4,М,False,2017,М
667,4.52,МТ,4,М,False,2018,М
668,3.63,МТ,8,Специалист,True,2008,М
670,5.0,МТ,4,М,False,2015,М
737,4.72,МТ,11,Специалист,False,2008,М
738,3.74,МТ,11,Специалист,False,2009,М
739,3.22,МТ,2,Специалист,True,2011,М
762,3.63,МТ,11,Специалист,False,2009,М
763,3.84,МТ,12,Специалист,False,2012,М
764,3.95,МТ,12,Специалист,False,2012,М
765,3.78,МТ,11,Специалист,True,2013,М
809,4.49,МТ,12,Специалист,True,2009,М
810,4.1,МТ,12,Специалист,False,2010,М
811,4.15,МТ,10,Специалист,True,2012,М
812,3.58,МТ,7,Специалист,True,2011,М
813,3.54,МТ,12,Специалист,False,2014,М
814,4.19,МТ,10,Специалист,True,2008,М
817,4.28,МТ,12,Специалист,False,2014,М
822,3.2,МТ,1,Специалист,True,2014,М
910,3.57,МТ,3,Специалист,True,2011,М
911,4.14,МТ,8,Б,False,2013,М
912,4.03,МТ,8,Б,False,2014,М
929,3.7,МТ,10,Специалист,True,2007,М
930,3.75,МТ,11,Специалист,False,2008,М
931,3.68,МТ,11,Специалист,False,2008,М
932,4.8,МТ,12,Специалист,False,2010,М
933,3.65,МТ,11,Специалист,True,2012,М
944,3.5,МТ,3,Б,True,2016,М
947,5.0,МТ,4,М,False,2016,М
997,4.22,МТ,10,Специалист,True,2007,М
